PNR,SourceSystemTicketingDate,SupplierTicketingDate,SourceSystem,SupplierName,SourceSystemStatus,SupplierStatus,IsOrphan,PCC,TicketingAgentSignOn
DBY3DL,,2025-09-10T01:23:43.386+00:00,,Galileo,,Ticketed,TRUE,8JY1,ZXI7GWS
DCBPKC,,2025-09-10T05:57:16.528+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCQ397,,2025-09-10T05:15:12.753+00:00,,Galileo,,Ticketed,TRUE,7K1J,Z7K1JGWS
DCQJ4Q,,2025-09-10T06:09:50.707+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCQ0JW,,2025-09-10T04:56:51.369+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCBBY1,,2025-09-10T06:13:29.785+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCQK71,,2025-09-10T06:20:08.757+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCM1D2,,2025-09-10T06:13:06.721+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCQQL5,,2025-09-10T06:33:43.564+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCQQWK,,2025-09-10T06:34:45.443+00:00,,Galileo,,Ticketed,TRUE,D40,Z3HB3GWS
DCQY47,,2025-09-10T06:56:21.781+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCQTRQ,,2025-09-10T06:40:36.116+00:00,,Galileo,,Ticketed,TRUE,8JY1,ZXI7GWS
DCR4SQ,,2025-09-10T07:12:36.337+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCQXF1,,2025-09-10T06:57:15.636+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCR1T3,,2025-09-10T07:02:30.818+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCJKGF,,2025-09-10T07:20:21.636+00:00,,Galileo,,Ticketed,TRUE,D40,Z3HB3GWS
DCR5RZ,,2025-09-10T07:17:43.766+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DC79NN,,2025-09-10T07:29:07.050+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCC7RJ,,2025-09-10T07:20:12.963+00:00,,Galileo,,Ticketed,TRUE,8JY1,ZXI7GWS
DC7BLD,,2025-09-10T07:21:12.271+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCRBJ5,,2025-09-10T07:30:43.328+00:00,,Galileo,,Ticketed,TRUE,8JY1,ZXI7GWS
DC9Y5J,,2025-09-10T07:31:46.732+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCKHFL,,2025-09-10T07:38:09.626+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCQ1VV,,2025-09-10T07:45:08.455+00:00,,Galileo,,Ticketed,TRUE,8JY1,ZXI7GWS
DCD7M9,,2025-09-10T07:48:40.503+00:00,,Galileo,,Ticketed,TRUE,D40,Z3HB3GWS
DCRQ00,,2025-09-10T08:00:13.273+00:00,,Galileo,,Ticketed,TRUE,D40,Z3HB3GWS
DCRQ1G,,2025-09-10T08:01:13.454+00:00,,Galileo,,Ticketed,TRUE,8JY1,ZXI7GWS
DCRS8V,,2025-09-10T08:03:53.353+00:00,,Galileo,,Ticketed,TRUE,52AU,Z52AUGWS
DCRTD2,,2025-09-10T08:08:10.647+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCDXTX,,2025-09-10T08:39:00.048+00:00,,Galileo,,Ticketed,TRUE,8JY1,ZXI7GWS
