SP_PNR,AIRLINE_PNR,BOOKING_DATE
CLQFYR,,2025-06-20 00:00:41
CLKXXF,,2025-06-20 00:01:19
CLQG4Z,HWRJBS,2025-06-20 00:02:33
CLQFZS,,2025-06-20 00:03:07
CLQG7V,9YDB64,2025-06-20 00:03:30
CLQGBG,9YEX8F,2025-06-20 00:04:19
CLQ78J,,2025-06-20 00:04:43
CLQGDB,143LFZ,2025-06-20 00:04:46
CLNM1Z,9WCPP3,2025-06-20 00:04:48
CLH7S2,NZ5MHJ,2025-06-20 00:05:04
CLN0C8,9VZSNY,2025-06-20 00:07:25
CLQGPN,9YFVAU,2025-06-20 00:07:31
CLQGSG,9YEUJ8,2025-06-20 00:08:26
CLQGTG,PSG58M,2025-06-20 00:08:48
CLQGTY,9YEIAX,2025-06-20 00:08:56
CLQGV3,143LG1,2025-06-20 00:09:01
CLQGX0,9YE88E,2025-06-20 00:09:27
CLQG90,,2025-06-20 00:09:32
CLQGJT,,2025-06-20 00:09:36
CLQGJT,,2025-06-20 00:10:34
CLQFX1,,2025-06-20 00:10:35
CLQH0G,PEVIQ2,2025-06-20 00:10:36
CLQH0P,9YGC3A,2025-06-20 00:10:40
CLQGTY,9YEIAX,2025-06-20 00:10:54
CLQH2G,PSG59X,2025-06-20 00:11:08
CLQG90,,2025-06-20 00:11:12
CLQH45,9YGLYR,2025-06-20 00:11:50
CLQH47,PSG6UN,2025-06-20 00:11:52
CLQC2P,,2025-06-20 00:11:56
CLQH5C,143LGD,2025-06-20 00:12:11
CLQH77,9YFM6B,2025-06-20 00:12:47
CLQH7C,9YFAFP,2025-06-20 00:12:49
CLQHCN,98GZHR,2025-06-20 00:14:09
CLQHD5,9YHFZI,2025-06-20 00:14:15
CLQH6R,9YGE92,2025-06-20 00:15:59
CLQHTP,9YI8CM,2025-06-20 00:18:42
CLQFKP,143LFB,2025-06-20 00:19:15
CLQHXK,9YHO97,2025-06-20 00:19:41
CLQHL3,,2025-06-20 00:19:43
CLQHZN,9YHIHU,2025-06-20 00:20:26
CLNM1Z,9WCPP3,2025-06-20 00:20:39
CLQHL3,,2025-06-20 00:20:48
CLQJ0K,9YHI85,2025-06-20 00:20:49
CLQJ4X,143LH0,2025-06-20 00:22:10
CLQJ88,143LH2,2025-06-20 00:23:13
CLQJ8G,9YJJW4,2025-06-20 00:23:25
CLQJ91,98GZJ1,2025-06-20 00:23:36
CLQJ09,,2025-06-20 00:23:59
CLQJHZ,9YJL5C,2025-06-20 00:25:30
CLPVH6,,2025-06-20 00:25:42
CLQJM3,9YIJHB,2025-06-20 00:26:17
CLQGJT,,2025-06-20 00:27:23
CLQJRD,9YI9CO,2025-06-20 00:27:42
CLQJTG,9YIQQR,2025-06-20 00:28:12
CLQJWL,9YJ7JH,2025-06-20 00:28:59
CLQJWR,PSG86N,2025-06-20 00:29:01
CLQJ9F,,2025-06-20 00:29:29
CLQJYM,9YIUW9,2025-06-20 00:29:39
CLQ1P1,CLQ1P1,2025-06-20 00:31:11
CLQCTF,,2025-06-20 00:32:13
CLQK7R,9YJIFT,2025-06-20 00:32:37
CLQJGR,,2025-06-20 00:34:11
CLQKD1,9YL8HL,2025-06-20 00:34:21
CLJYXH,9UAN8M,2025-06-20 00:35:40
CLQKHM,143LHR,2025-06-20 00:35:43
CLQK87,,2025-06-20 00:35:44
CLQKLQ,PSG8ZY,2025-06-20 00:36:57
CLQKMK,143LHS,2025-06-20 00:37:15
CLQKNR,EPGQ5N,2025-06-20 00:37:52
CLQKG6,,2025-06-20 00:37:52
CLQK87,,2025-06-20 00:37:57
CLQKSP,9YK3M8,2025-06-20 00:39:21
CLQKTG,143LY3,2025-06-20 00:39:41
CLQKY3,9YMO3W,2025-06-20 00:41:01
CLQJVN,,2025-06-20 00:41:19
CLQKHC,,2025-06-20 00:41:34
CLQL79,9YLQ7H,2025-06-20 00:44:53
CLQL9B,9YM5C7,2025-06-20 00:45:32
CLD2YB,,2025-06-20 00:45:39
CLQJVN,,2025-06-20 00:45:42
CLQL9Y,PSG99N,2025-06-20 00:45:45
CLQLCN,143LYD,2025-06-20 00:46:21
CLQLCV,9YN3YK,2025-06-20 00:46:24
CLQLD7,9YMLQW,2025-06-20 00:46:35
CLQ6Q1,,2025-06-20 00:46:49
CLNCVZ,9W9RVW,2025-06-20 00:48:15
CLQLK6,9YOC3R,2025-06-20 00:48:16
